Month,Topic,Score
'January 2020','Bill-Gates',0.5961893986605274
'January 2020','religion',0.13875303950788836
'January 2020','doubt',0.16567775697280995
'January 2020','Bill-Gates',0.1393405392744628
'January 2020','Bill-Gates',0.20235793846898034
'January 2020','religion',0.11759553520416373
'January 2020','religion',0.4551422225124417
'January 2020','doubt',0.6288286227495408
'January 2020','Bill-Gates',0.1225641485791901
'January 2020','religion',0.2206682534906303
'January 2020','religion',0.6239027101133243
'January 2020','religion',0.10904608201622279
'January 2020','Bill-Gates',0.10648183392080592
'January 2020','religion',0.33783536894110583
'January 2020','doubt',0.10559801030369695
'January 2020','side-effects',0.10895130177451998
'January 2020','religion',0.4499389963257391
'January 2020','doubt',0.24693188989877227
'January 2020','doubt',0.5738624294663066
'January 2020','religion',0.08996242291344088
'January 2020','doubt',0.13285114355653677
'January 2020','religion',0.24008369766471638
'January 2020','Bill-Gates',0.1218335877879276
'January 2020','doubt',0.08391236567435383
'January 2020','Bill-Gates',0.15451325838270366
'January 2020','politics',0.15149463454204276
'January 2020','religion',0.08580052504853027
'January 2020','treatment',0.14933197173649448
'January 2020','religion',0.08228703738265597
'January 2020','Bill-Gates',0.11419742505665995
'January 2020','religion',0.1314250776548999
'January 2020','Bill-Gates',0.11331332176138129
'January 2020','doubt',0.10189538126906354
'January 2020','Bill-Gates',0.08059635556466317
'January 2020','doubt',0.17460143316341645
'January 2020','doubt',0.18769491651313205
'January 2020','side-effects',0.17102033588395943
'January 2020','doubt',0.08464005290505726
'January 2020','politics',0.07881657076394882
'January 2020','politics',0.12759200263722295
'January 2020','doubt',0.30343801061656656
'January 2020','Bill-Gates',0.08294212382148708
'January 2020','side-effects',0.1253009974251092
'January 2020','side-effects',0.18359055791498824
'January 2020','doubt',0.16524962050423148
'January 2020','side-effects',0.1884693825256163
'January 2020','Bill-Gates',0.08976399097214272
'January 2020','Bill-Gates',0.24829219052433688
'January 2020','doubt',0.07477448411885547
'January 2020','Bill-Gates',0.124768881741984
'January 2020','doubt',0.1508181335849141
'January 2020','treatment',0.10587718856617609
'January 2020','politics',0.30467417329196333
'January 2020','Bill-Gates',0.09771727667730595
'January 2020','treatment',0.16479112585267305
'January 2020','Bill-Gates',0.19115049873728585
'January 2020','Bill-Gates',0.07118826895595634
'January 2020','Bill-Gates',0.09820481497610434
'January 2020','covid-response',0.30661368753610185
'January 2020','Bill-Gates',0.06726006030969683
'January 2020','Bill-Gates',0.06767295202091528
'January 2020','doubt',0.11280580222294123
'January 2020','doubt',0.08788506914516721
'January 2020','Bill-Gates',0.12865655496188433
